Sex,MouseID,Day,Hour,AvgActivity
Female,f1,8,21,2.9833333333333334
Female,f1,8,22,12.2
Female,f1,8,23,18.266666666666666
Female,f1,9,0,33.0
Female,f1,9,1,34.483333333333334
Female,f1,9,2,31.033333333333335
Female,f1,9,3,23.133333333333333
Female,f1,9,4,26.840268241938205
Female,f1,9,5,23.45
Female,f1,9,6,18.633333333333333
Female,f1,9,7,25.316666666666666
Female,f1,9,8,7.116666666666666
Female,f1,9,9,10.95
Female,f1,9,10,5.8
Female,f1,9,11,1.9166666666666667
Female,f1,9,12,7.616666666666666
Female,f1,9,13,20.283333333333335
Female,f1,9,14,11.45
Female,f1,9,15,5.283333333333333
Female,f1,9,16,5.416666666666667
Female,f1,9,17,2.85
Female,f1,9,18,3.4166666666666665
Female,f1,9,19,15.116666666666667
Female,f1,9,20,3.35
Female,f1,9,21,9.383333333333333
Female,f1,9,22,2.05
Female,f1,9,23,6.4
Female,f1,10,0,33.8
Female,f1,10,1,31.533333333333335
Female,f1,10,2,19.666666666666668
Female,f1,10,3,25.233333333333334
Female,f1,10,4,26.683333333333334
Female,f1,10,5,27.483333333333334
Female,f1,10,6,28.216666666666665
Female,f1,10,7,32.016666666666666
Female,f1,10,8,27.383333333333333
Female,f1,10,9,18.45
Female,f1,10,10,12.35
Female,f1,10,11,13.990268241938205
Female,f1,10,12,4.383333333333334
Female,f1,10,13,15.366666666666667
Female,f1,10,14,1.8333333333333333
Female,f1,10,15,2.216666666666667
Female,f1,10,16,4.15
Female,f1,10,17,4.966666666666667
Female,f1,10,18,2.55
Female,f1,10,19,4.55
Female,f1,10,20,4.0
Female,f1,10,21,8.066666666666666
Female,f1,10,22,4.016666666666667
Female,f1,10,23,26.55
Female,f1,11,0,45.1402682419382
Female,f1,11,1,30.216666666666665
Female,f1,11,2,20.4
Female,f1,11,3,27.233333333333334
Female,f1,11,4,35.333333333333336
Female,f1,11,5,27.083333333333332
Female,f1,11,6,23.566666666666666
Female,f1,11,7,28.1
Female,f1,11,8,25.833333333333332
Female,f1,11,9,9.5
Female,f1,11,10,5.55
Female,f1,11,11,20.316666666666666
Female,f1,11,12,3.066666666666667
Female,f1,11,13,14.333333333333334
Female,f1,11,14,29.9
Female,f1,11,15,11.316666666666666
Female,f1,11,16,2.783333333333333
Female,f1,11,17,1.3
Female,f1,11,18,3.75
Female,f1,11,19,7.35
Female,f1,11,20,3.55
Female,f1,11,21,5.283333333333333
Female,f1,11,22,11.366666666666667
Female,f1,11,23,12.55
Female,f1,12,0,34.81666666666667
Female,f1,12,1,23.25
Female,f1,12,2,30.016666666666666
Female,f1,12,3,21.8
Female,f1,12,4,26.916666666666668
Female,f1,12,5,25.95
Female,f1,12,6,29.833333333333332
Female,f1,12,7,31.266666666666666
Female,f1,12,8,25.916666666666668
Female,f1,12,9,5.866666666666666
Female,f1,12,10,21.833333333333332
Female,f1,12,11,4.55
Female,f1,12,12,7.0
Female,f1,12,13,5.083333333333333
Female,f1,12,14,22.3
Female,f1,12,15,7.25
Female,f1,12,16,2.816666666666667
Female,f1,12,17,2.566666666666667
Female,f1,12,18,7.85
Female,f1,12,19,3.4
Female,f1,12,20,15.933333333333334
Female,f1,12,21,4.216666666666667
Female,f1,12,22,2.05
Female,f1,12,23,12.483333333333333
Female,f1,13,0,28.8
Female,f1,13,1,38.72360157527154
Female,f1,13,2,27.15
Female,f1,13,3,22.583333333333332
Female,f1,13,4,21.05
Female,f1,13,5,22.5
Female,f1,13,6,15.683333333333334
Female,f1,13,7,20.683333333333334
Female,f1,13,8,25.45
Female,f1,13,9,8.833333333333334
Female,f1,13,10,10.283333333333333
Female,f1,13,11,18.183333333333334
Female,f1,13,12,5.583333333333333
Female,f1,13,13,2.2
Female,f1,13,14,10.666666666666666
Female,f1,13,15,1.25
Female,f1,13,16,23.233333333333334
Female,f1,13,17,26.05
Female,f1,13,18,7.266666666666667
Female,f1,13,19,0.6
Female,f1,13,20,10.533333333333333
Female,f1,13,21,3.6
Female,f1,13,22,3.6666666666666665
Female,f1,13,23,3.9166666666666665
Female,f1,14,0,34.766666666666666
Female,f1,14,1,22.233333333333334
Female,f1,14,2,18.15
Female,f1,14,3,30.716666666666665
Female,f1,14,4,27.523601575271538
Female,f1,14,5,22.85
Female,f1,14,6,46.55
Female,f1,14,7,49.340268241938205
Female,f1,14,8,41.88333333333333
Female,f1,14,9,36.273601575271535
Female,f1,14,10,18.233333333333334
Female,f1,14,11,8.0
Female,f1,14,12,6.766666666666667
Female,f1,14,13,22.55
Female,f1,14,14,30.966666666666665
Female,f1,14,15,1.45
Female,f1,14,16,0.9333333333333333
Female,f1,14,17,4.983333333333333
Female,f1,14,18,7.85
Female,f1,14,19,2.7333333333333334
Female,f1,14,20,19.033333333333335
Female,f1,14,21,8.35
Female,f1,14,22,9.533333333333333
Female,f1,14,23,13.466666666666667
Female,f10,127,0,47.71666666666667
Female,f10,127,1,63.35
Female,f10,127,2,61.083333333333336
Female,f10,127,3,44.766666666666666
Female,f10,127,4,38.11666666666667
Female,f10,127,5,15.3
Female,f10,127,6,46.28333333333333
Female,f10,127,7,50.0
Female,f10,127,8,38.96666666666667
Female,f10,127,9,27.183333333333334
Female,f10,127,10,4.016666666666667
Female,f10,127,11,9.366666666666667
Female,f10,127,12,1.7333333333333334
Female,f10,127,13,0.7833333333333333
Female,f10,127,14,7.783333333333333
Female,f10,127,15,14.183333333333334
Female,f10,127,16,2.7333333333333334
Female,f10,127,17,1.2666666666666666
Female,f10,127,18,3.8833333333333333
Female,f10,127,19,5.4
Female,f10,127,20,11.133333333333333
Female,f10,127,21,7.083333333333333
Female,f10,127,22,4.766666666666667
Female,f10,127,23,9.316666666666666
Female,f10,128,0,39.9
Female,f10,128,1,61.724977665945744
Female,f10,128,2,62.65
Female,f10,128,3,49.99164433261241
Female,f10,128,4,44.71666666666667
Female,f10,128,5,28.533333333333335
Female,f10,128,6,58.25
Female,f10,128,7,62.03333333333333
Female,f10,128,8,59.61666666666667
Female,f10,128,9,32.833333333333336
Female,f10,128,10,36.666666666666664
Female,f10,128,11,19.516666666666666
Female,f10,128,12,11.333333333333334
Female,f10,128,13,13.483333333333333
Female,f10,128,14,16.916666666666668
Female,f10,128,15,7.066666666666666
Female,f10,128,16,3.6166666666666667
Female,f10,128,17,0.4666666666666667
Female,f10,128,18,1.7333333333333334
Female,f10,128,19,6.15
Female,f10,128,20,2.2333333333333334
Female,f10,128,21,15.716666666666667
Female,f10,128,22,13.683333333333334
Female,f10,128,23,21.65
Female,f10,129,0,7.166666666666667
Female,f10,129,1,48.666666666666664
Female,f10,129,2,49.158310999279074
Female,f10,129,3,9.333333333333334
Female,f10,129,4,6.783333333333333
Female,f10,129,5,11.4
Female,f10,129,6,35.2
Female,f10,129,7,40.63333333333333
Female,f10,129,8,25.616666666666667
Female,f10,129,9,15.05
Female,f10,129,10,22.966666666666665
Female,f10,129,11,2.55
Female,f10,129,12,1.3333333333333333
Female,f10,129,13,7.066666666666666
Female,f10,129,14,1.25
Female,f10,129,15,25.166666666666668
Female,f10,129,16,1.4666666666666666
Female,f10,129,17,12.566666666666666
Female,f10,129,18,1.8
Female,f10,129,19,19.15
Female,f10,129,20,2.966666666666667
Female,f10,129,21,2.5
Female,f10,129,22,20.816666666666666
Female,f10,129,23,12.666666666666666
